headline,url,timestamp,tags,summary,ticker_symbols
Apple shares have best day since last May ,https://www.cnbc.com/2024/04/11/apple-stock-just-had-its-best-day-since-last-may-.html,2024-04-11T20:38:30+0000,"['apple inc', 'business', 'breaking news technology', 'technology', 'mobile', 'apple inc', 'tim cook', 'iphone', 'jpmorgan drn']","(""Apple stock climbed 4.3% on Thursday to a share price of $175.04. It is Apple's best day since May 5, 2023."",)","['AAPL', 'JPM']"
S&P 500 closes higher in rebound from inflation-fueled sell-off; Apple and Nvidia pop,https://www.cnbc.com/2024/04/10/stock-market-today-live-updates.html,2024-04-11T20:31:01+0000,"['economic events', 'prices', 'fastenal co', 'constellation brands inc', 'carmax inc', 'sp 500 index', 'nasdaq composite', 'dow jones industrial average', 'nasdaq 100 fut mar23', 'sp 500 fut mar23', 'dow jones fut mar23', 'united states', 'markets', 'stock markets', 'breaking news markets', 'nvidia corp', 'broadcom inc', 'super micro computer inc', 'amazoncom inc', 'alphabet inc', 'apple inc']","('The S&P 500 rose Thursday as Wall Street digested fresh inflation data.',)","['FAST', 'STZ', 'KMX', '.SPX', '.IXIC', '.DJI', '@ND.1', '@SP.1', '@DJ.1', 'NVDA', 'AVGO', 'SMCI', 'AMZN', 'GOOGL', 'AAPL']"
"Morgan Stanley tumbles, GE Healthcare climbs — what's driving Thursday's major portfolio stock moves",https://www.cnbc.com/2024/04/11/morgan-stanley-tumbles-ge-healthcare-climbs-whats-driving-thursdays-major-portfolio-stock-moves.html,2024-04-11T19:08:32+0000,"['ge healthcare technologies inc', 'bausch lomb corp', 'bausch lomb corp', 'bausch health companies inc', 'bausch health companies inc', 'jpmorgan drn', 'citigroup inc', 'blackrock inc', 'wells fargo co', 'financial select sector spdr fund', 'jim cramer', 'investment strategy', 'markets', 'breaking news markets', 'homestretch', 'broadcom inc', 'apple inc', 'nvidia corp', 'best buy co inc']","('Every weekday, the Investing Club releases the Homestretch; an actionable afternoon update just in time for the last hour of trading.',)","['GEHC', 'BLCO', 'BLCO-CA', 'BHC', 'BHC-CA', 'JPM', 'C', 'BLK', 'WFC', 'XLF', 'AVGO', 'AAPL', 'NVDA', 'BBY']"
8 tips to help you save money on back-to-school shopping in 2022,https://www.cnbc.com/select/save-money-on-back-to-school-shopping/,2024-04-11T17:27:20+0000,"['personal saving', 'back to school', 'approved for apple', 'personal finance', 'amazoncom inc', 'american eagle outfitters inc', 'american express co', 'education', 'apple inc']","('Despite rising costs, there are still a few easy ways you can save money this back-to-school season.',)","['AMZN', 'AEO', 'AXP', 'AAPL']"
"Thursday, April 11, 2024: Cramer says this surging beer stock still looks cheap on cash-flow basis",https://www.cnbc.com/video/2024/04/11/thursday-april-11-2024-cramer-says-this-surging-beer-stock-still-looks-cheap-on-cash-flow-basis.html,2024-04-11T15:41:01+0000,"['visa inc', 'mastercard inc', 'airbnb inc', 'carmax inc', 'starbucks corp', 'nike inc', 'ge healthcare technologies inc', 'apple inc', 'amazoncom inc', 'costco wholesale corp', 'constellation brands inc', 'constellation energy corp', 'neutral']","(""Go behind the scenes with Jim Cramer and Jeff Marks of the CNBC Investing Club as they talk candidly about the market's biggest headlines, analyst calls and holdings in the Charitable Trust—and see up close how they decide when, and if, to take action on stocks."",)","['V', 'MA', 'ABNB', 'KMX', 'SBUX', 'NKE', 'GEHC', 'AAPL', 'AMZN', 'COST', 'STZ', 'CEG']"
"Investors are getting it wrong about Apple — again, Bank of America says",https://www.cnbc.com/2024/04/11/investors-are-getting-it-wrong-about-apple-again-bank-of-america-says.html,2024-04-11T14:21:40+0000,"['artificial intelligence', 'apple inc', 'technology', 'breaking news technology', 'stock markets', 'investment strategy']","('Investors are underestimating this key Apple metric, Bank of America says',)",['AAPL']
"Here are Thursday's biggest analyst calls: Nvidia, Costco, Apple, Snowflake, Meta, Nike, Disney",https://www.cnbc.com/2024/04/11/thursdays-stocks-to-buy-like-costco-gold.html,2024-04-11T13:31:29+0000,"['breaking news investing', 'alphabet inc', 'costco wholesale corp', 'meta platforms inc', 'hamilton insurance group ltd', 'amazoncom inc', 'stepstone group inc', 'anaptysbio inc', 'microsoft corp', 'chevron corp', 'atlassian corp', 'doordash inc', 'marsh mclennan companies inc', 'kenvue inc', 'visa inc', 'tpb acquisition corporation i', 'ati inc', 'qualcomm inc', 'mastercard inc', 'airbnb inc', 'nvidia corp', 'walt disney co', 'gartner inc', 'nasdaq inc', 'snowflake inc', 'albemarle corp', 'robinhood markets inc', 'nike inc', 'markets', 'breaking news markets', 'investment strategy', 'apple inc']","(""Here are Thursday's biggest calls on Wall Street."",)","['GOOGL', 'COST', 'META', None, 'AMZN', 'STEP', 'ANAB', 'MSFT', 'CVX', 'TEAM', 'DASH', 'MMC', None, 'V', 'TPBA', 'ATI', 'QCOM', 'MA', 'ABNB', 'NVDA', 'DIS', 'IT', 'NDAQ', 'SNOW', 'ALB', 'HOOD', 'NKE', 'AAPL']"
Here's our fourth-quarter earnings report card for 31 stocks in the portfolio,https://www.cnbc.com/2024/03/19/investing-clubs-q4-2023-earnings-report-card.html,2024-04-10T20:24:52+0000,"['starbucks corp', 'palo alto networks inc', 'honeywell international inc', 'dupont de nemours inc', 'costco wholesale corp', 'constellation brands inc', 'alphabet inc', 'wells fargo co', 'procter gamble co', 'stanley black decker inc', 'morgan stanley', 'linde plc', 'linde plc', 'estee lauder companies inc', 'danaher corp', 'walt disney co', 'coterra energy inc', 'broadcom inc', 'bausch health companies inc', 'bausch health companies inc', 'tjx companies inc', 'apple inc', 'wynn resorts ltd', 'nvidia corp', 'microsoft corp', 'meta platforms inc', 'ge healthcare technologies inc', 'ford motor co', 'eli lilly and co', 'eaton corporation plc', 'amazoncom inc', 'breaking news markets', 'markets', 'investment strategy', 'jim cramer', 'club earnings', 'foot locker inc', 'abbott laboratories']","('We ranked the quarterly reports of our holdings in the Club as great, good, not-so-bad and ugly.',)","['SBUX', 'PANW', 'HON', 'DD', 'COST', 'STZ', 'GOOGL', 'WFC', 'PG', 'SWK', 'MS', 'LIN', 'LIN', 'EL', 'DHR', 'DIS', 'CTRA', 'AVGO', 'BHC', 'BHC-CA', 'TJX', 'AAPL', 'WYNN', 'NVDA', 'MSFT', 'META', 'GEHC', 'F', 'LLY', 'ETN', 'AMZN', 'FL', 'ABT']"
Dow closes 400 points lower Wednesday as hot consumer inflation report incites selloff,https://www.cnbc.com/2024/04/09/stock-market-today-live-updates.html,2024-04-10T20:22:46+0000,"['breaking news markets', 'nasdaq composite', 'sp 500 index', 'dow jones industrial average', 'nasdaq 100 fut mar23', 'sp 500 fut mar23', 'dow jones fut mar23', 'markets', 'delta air lines inc', 'prices', 'cme group inc', 'jpmorgan drn', 'caterpillar inc', 'nvidia corp', 'meta platforms inc', 'microsoft corp', 'apple inc', 'economic events', 'honeywell international inc']","('Stocks tanked after March inflation data came in hotter than expected, likely pushing off interest rate cuts investors have been expecting.',)","['.IXIC', '.SPX', '.DJI', '@ND.1', '@SP.1', '@DJ.1', 'DAL', 'CME', 'JPM', 'CAT', 'NVDA', 'META', 'MSFT', 'AAPL', 'HON']"
Costco Anywhere Visa Card review: Is it the best card for Costco?,https://www.cnbc.com/select/costco-anywhere-visa-card-review/,2024-04-10T19:36:20+0000,"['no apple syndication', 'personal finance', 'consumer spending', 'credit card services', 'selectreviews', 'selectmonetized', 'costco wholesale corp', 'united states', 'apple inc', 'jpmorgan drn', 'wells fargo co', 'visa inc']","(""CNBC Select breaks down the rewards, benefits and fees associated with the Costco Anywhere Visa Card to help you decide if it's the right card for you."",)","['COST', 'AAPL', 'JPM', 'WFC', 'V']"
