headline,url,timestamp,tags,summary
"Costco selling up to $200 million in gold bars each month, Wells Fargo est ",https://www.cnbc.com/2024/04/09/costco-selling-up-to-200-million-in-gold-bars-a-month-wells-fargo-estimates.html,2024-04-09T16:23:01+0000,"['wells fargo co', 'gold us dollar spot', 'markets', 'retail industry', 'metal commodities', 'costco wholesale corp']","Gold has turned into money for Costco, where yellow metal sales begun last year have turned into a cash cow for the big-box retailer."
IEA downgrades oil demand growth forecast as prices heat up,https://www.cnbc.com/2024/04/12/iea-downgrades-2024-oil-demand-growth-forecast-as-prices-heat-up.html,2024-04-12T14:07:36+0000,"['opec', 'ice brent crude apr23', 'energy']","It comes as oil prices rebound on elevated Middle East tensions, with market participants monitoring the prospect of supply disruptions from the region."
Bosses could be fined for after-hours emails under proposed California law,https://www.cnbc.com/2024/04/11/california-proposed-right-to-disconnect-law-would-fine-companies-for-after-hours-communication.html,2024-04-11T19:54:11+0000,"['san francisco', 'labor economy', 'personnel', 'social issues']",A proposed bill from a San Francisco lawmaker would give some employees the legal right to ignore non-emergency calls and emails once the workday ends.
3 resume red flags recruiters look out for and how to avoid them,https://www.cnbc.com/2024/04/08/3-resume-red-flags-recruiters-look-out-for-and-how-to-avoid-them.html,2024-04-08T13:24:59+0000,"['labor economy', 'personnel']","Having too much AI-generated content or poor formatting on your resume could cost you the job, a new Resume Genius survey found."
Globe Life shares plummet 50% after short-seller accuses company of insurance fraud,https://www.cnbc.com/2024/04/11/globe-life-shares-plummet-50percent-after-short-seller-accuses-company-of-insurance-fraud.html,2024-04-11T21:23:30+0000,"['business', 'markets', 'breaking news markets', 'globe life inc']","In a statement later Thursday, Globe Life refuted the Fuzzy Panda report, saying the allegations are ""driven solely by short-term profit."""
Why car insurance costs are skyrocketing and leading to higher inflation,https://www.cnbc.com/2024/04/11/why-car-insurance-costs-are-skyrocketing-leading-to-higher-inflation.html,2024-04-11T19:21:02+0000,"['breaking news business', 'autos', 'transportation', 'business', 'united states', 'detroit', 'robert ferris', 'jeff cox', 'breaking news economy', 'economy', 'us economy']","On a monthly basis, car insurance prices as part of the consumer price index (CPI) rose by an unadjusted 2.7%, pushing the year-over-year increase to 22.2%."
"Biden's student loan forgiveness plan could erase up to $20,000 in interest",https://www.cnbc.com/2024/04/08/bidens-student-loan-forgiveness-plan-could-erase-up-to-20000-in-interest.html,2024-04-08T20:28:02+0000,"['personal finance', 'breaking news politics', 'politics', 'joe biden', 'government and politics', 'joe biden']","President Joe Biden's new plan to ""cancel runaway interest"" on student loans may reach as many as 25 million borrowers. "
China remains a crucial market for U.S. chipmakers amid rising tensions with Washington,https://www.cnbc.com/2024/04/12/china-remains-a-crucial-market-for-us-chipmakers-amid-rising-tensions-.html,2024-04-12T04:55:09+0000,"['china', 'nvidia corp', 'advanced micro devices inc', 'micron technology inc', 'marvell technology inc', 'qualcomm inc', 'broadcom inc', 'intel corp', 'technology', 'politics', 'us economy', 'business', 'trade']",Data from S&P Global shows that many U.S. chip giants generate a larger share of revenue from China compared with the U.S. despite increasing trade barriers. 
LinkedIn betting it can take on TikTok and Instagram in influencer marketing,https://www.cnbc.com/2024/04/12/linkedin-expands-thought-leader-ads-eyeing-tiktok-and-instagram.html,2024-04-12T13:00:01+0000,"['elon musk', 'mastercard inc', 'meta platforms inc', 'microsoft corp', 'business', 'technology', 'breaking news technology', 'enterprise', 'mitch mcconnell']","With LinkedIn facing a slowdown in growth, the company is jumping into influencer marketing, trying to compete with TikTok and Instagram. "
The Fed's inflation problem is being complicated by 'supercore' prices.,https://www.cnbc.com/2024/04/10/the-supercore-inflation-measure-shows-fed-may-have-a-real-problem-on-its-hands.html,2024-04-11T11:20:38+0000,"['business', 'breaking news markets', 'stock markets', 'economy', 'markets', 'market insider', 'tom fitzpatrick', 'prices', 'united states', 'banco santanderchile', 'banco santander sa']",Bringing down inflation is being frustrated by sticky services prices. Experts say the Fed may have a meaningful problem on its hands.
"Safe-haven demand fuels gold's record rally as metal touches $2,400 an ounce",https://www.cnbc.com/2024/04/11/gold-drifts-higher-as-geopolitical-tensions-lift-safe-haven-appeal.html,2024-04-12T13:44:21+0000,"['economic stimulus', 'economic outlook', 'economic events', 'economic policy', 'economic growth', 'monetary policy', 'federal reserve bank', 'federal reserve system', 'interest rates', 'inflation', 'breaking news markets', 'precious metal markets', 'precious metals industry', 'precious metal manufacturing', 'metal commodities', 'gold us dollar spot', 'gold comex apr23', 'silver us dollar spot', 'platinum us dollar spot', 'palladium us dollar spot', 'jobs', 'employment figures', 'government and politics']",Gold touched another an all-time high and was poised for a fourth straight weekly gain.
"Stocks making the biggest moves before the bell: JPMorgan, Globe Life and more",https://www.cnbc.com/2024/04/12/stocks-making-the-biggest-moves-before-the-bell-jpm-blk-gl-and-more.html,2024-04-12T13:53:25+0000,"['business', 'breaking news markets', 'stock markets', 'economy', 'markets', 'market insider', 'jpmorgan drn', 'wells fargo co', 'blackrock inc', 'globe life inc', 'paramount global', 'gitlab inc', 'raymond james financial inc', 'tesla inc', 'corteva inc', 'jamie dimon', 'mobileye global inc', 'citigroup inc', 'earnings', 'ciena corp']",These are the stocks posting the largest moves in premarket trading. 
